meal_type,ingredients_text,g_protein,g_carb,g_vegetable,g_fat
breakfast,"MEALTYPE_breakfast | protein: pork, fresh, loin, tenderloin, separable lean only, cooked, roasted | carb: sweet potato, canned, mashed",139.73680290593637,71.30128174651794,78.04978813094047,0.0
snacks,"MEALTYPE_snacks | protein: pork, fresh, loin, center loin (roasts), bone-in, separable lean and fat, cooked, roasted | carb: potato, baked, peel not eaten; rice, white, cooked, fat added, ns as to fat type | fat: avocado oil spray, avocado oil",113.40884899637416,84.38651200806646,65.82092906166639,8.43414198827331
dinner,"MEALTYPE_dinner | protein: fish, salmon, king, chinook, liver (alaska native) | carb: rice, white, short-grain, cooked, unenriched | vegetable: carrots, cooked, as ingredient; organic cucumber glow cucumber & lemon juice blend, cucumber & lemon | fat: fish oil, cod liver",210.97052881024484,136.72415490077896,254.7256443910826,18.503695698510768
snacks,"MEALTYPE_snacks | protein: hormel always tender, pork loin filets, lemon garlic-flavored | carb: pasta, whole grain, cooked; rice, sweet, cooked with honey",43.8860542860793,88.30489532424546,59.58097247262537,13.6750973243421
dinner,"MEALTYPE_dinner | protein: turkey, retail parts, breast, meat and skin, raw | carb: pasta with cream sauce and meat, ready-to-heat | vegetable: greek salad, no dressing",142.7365630901143,100.78744085367546,165.62688672066807,9.176730886712377
dinner,"MEALTYPE_dinner | protein: hormel always tender, boneless pork loin, fresh pork | carb: pasta, whole grain, with cream sauce, ready-to-heat | vegetable: spinach, frozen, cooked, no added fat | fat: shortening, ns as to vegetable or animal",157.48399696584494,213.16156822323217,224.85758434942434,11.424697306422441
snacks,"MEALTYPE_snacks | protein: fish, tuna, canned | vegetable: mushrooms, morel, raw",47.99173822275975,20.73622697510055,62.95395020017107,10.648508565920322
dinner,"MEALTYPE_dinner | protein: pork, fresh, loin, center loin (chops), boneless, separable lean and fat, raw | carb: rice, brown and wild, cooked, no added fat | vegetable: onions, green, cooked; soup, cream of tomato | fat: oil, corn and canola",133.74360882431682,186.94447388647546,164.79731710576385,13.913305490736644
breakfast,"MEALTYPE_breakfast | protein: chicken breast, grilled without sauce, skin not eaten | carb: pasta with cream sauce and meat, home recipe | vegetable: mushrooms, maitake, raw | fat: almond oil",73.08178345679394,112.40608670788347,17.166773825562338,4.863201569001795
dinner,"MEALTYPE_dinner | protein: fish, salmon, sockeye, canned, without salt, drained solids with bone | carb: pasta, gluten-free, corn, cooked | vegetable: cucumber & mint lemonade, cucumber & mint; lettuce, cooked | fat: oil, industrial, canola (partially hydrogenated) oil for deep fat frying",153.76606704263958,126.97500124266938,199.1449726508411,13.798450132777898
dinner,"MEALTYPE_dinner | protein: pork loin, fresh, backribs, bone-in, cooked-roasted, lean only | carb: pasta, whole grain, with cream sauce, and added vegetables, ready-to-heat | vegetable: baby bell peppers; sauce, peppers, hot, chili, mature red, canned | fat: oil, soybean, salad or cooking",122.72544877606326,94.40765772410268,210.02468310736106,12.466281223519424
breakfast,"MEALTYPE_breakfast | protein: pork, fresh, loin, center loin (roasts), bone-in, separable lean and fat, cooked, roasted | carb: rice, cooked, nfs | vegetable: onions, young green, tops only | fat: refined lard cube",108.10212260964825,96.18145069774519,50.42260744951108,7.138500409184491
snacks,"MEALTYPE_snacks | protein: turkey, retail parts, breast, meat only, with added solution, raw | carb: pasta, cooked; rice, white, short-grain, cooked, unenriched | fat: avocado oil spray, avocado oil",92.97364204296747,46.58699614595196,77.53411018781792,11.787509039657946
desserts,"MEALTYPE_desserts | carb: sweet potato, canned, fat added | fat: vegetable shortening",0.0,95.4225539445599,36.10409586175366,17.115525796672223
dinner,"MEALTYPE_dinner | protein: pork, fresh, loin, center loin (chops), boneless, separable lean and fat, raw | carb: rice, brown, cooked, no added fat | vegetable: peas and carrots, canned, cooked, fat added; pickles, cucumber, sour, low sodium | fat: sesame oil",222.79371409108506,201.36312477363361,209.50333207116861,12.049302556851451
lunch,"MEALTYPE_lunch | protein: beef, new zealand, imported, oyster blade, separable lean and fat, raw | carb: rice, white, long-grain, regular, cooked, enriched, with salt | vegetable: broccoli, stalks, raw; mushrooms, shiitake, raw",141.58074021706096,85.82598434066495,159.03853107912303,9.288195760326209
snacks,"MEALTYPE_snacks | carb: rice, white, long-grain, regular, unenriched, cooked without salt; rice, white, short-grain, enriched, cooked | vegetable: spinach, canned, regular pack, drained solids",82.29550257303555,54.686980453483706,47.27323931851334,4.228038710296975
desserts,"MEALTYPE_desserts | carb: pasta with cream sauce and added vegetables, ready-to-heat | fat: butter, nfs",0.0,93.23679998759017,19.466333233526413,17.81413988709042
dinner,"MEALTYPE_dinner | protein: beef, steak, sirloin, lean only eaten | carb: pasta, whole grain, with cream sauce and poultry, ready-to-heat | vegetable: tomatoes, crushed, canned | fat: shortening industrial, lard and vegetable oil",152.03707957102722,133.05103957480836,173.7210324448768,12.144760444270654
lunch,"MEALTYPE_lunch | protein: crustaceans, shrimp, cooked | carb: pasta, whole grain, cooked | vegetable: brine cucumbers; cucumber, cooked",155.40361435390494,95.2006037589621,187.55841488636986,8.656039189907109
lunch,"MEALTYPE_lunch | protein: beef, ground, unspecified fat content, cooked | carb: sweet potato, canned, ns as to fat | vegetable: lettuce, salad with assorted vegetables excluding tomatoes and carrots, no dressing; soup, cream of asparagus, canned, condensed",191.60118451376078,112.22995872528331,85.98600898818876,12.213082102089285
dinner,"MEALTYPE_dinner | protein: turkey, retail parts, breast, meat only, with added solution, cooked, roasted | carb: rice, brown, long-grain, cooked (includes foods for usda's food distribution program) | vegetable: onions, green, cooked; pickles, cucumber, sour, low sodium",234.3479274083694,126.54685410241898,172.7102832617086,9.583511267946438
desserts,"MEALTYPE_desserts | carb: rice, white, long-grain, regular, unenriched, cooked without salt; wild rice, cooked | fat: oil, industrial, canola, high oleic",0.0,238.78009024893393,35.667090650196556,22.972160389138985
desserts,"MEALTYPE_desserts | carb: pasta with cream sauce, ready-to-heat; yellow rice, cooked, fat added | fat: armour lard 1lb cartons",0.0,203.52198913775808,26.466450526710442,15.473154577474201
desserts,"MEALTYPE_desserts | carb: sweet potato, canned, vacuum pack | fat: agreena shortening",0.0,229.8901040854047,9.63882300022739,10.45515864822972
breakfast,"MEALTYPE_breakfast | protein: pork, fresh, loin, blade (chops or roasts), bone-in, separable lean and fat, raw | carb: pasta with cream sauce, ready-to-heat | fat: avocado oil spray, avocado oil",89.64346657145732,97.23884074801137,62.192387059294205,13.992992653399432
dinner,"MEALTYPE_dinner | protein: turkey, all classes, breast, meat and skin, raw | carb: pasta with cream sauce, meat, and added vegetables, ready-to-heat | vegetable: onions, young green, tops only",121.67235452498419,116.74496479981684,103.7279992015738,15.487221430580005
breakfast,"MEALTYPE_breakfast | protein: beef with soy-based sauce | carb: rice, white, cooked, fat added, ns as to fat type",128.11166092209024,83.97307819920691,64.32996209458102,0.0
dinner,"MEALTYPE_dinner | protein: chicken wing, baked, coated | carb: sweet potato, canned, fat added | vegetable: lettuce, boston, raw | fat: oil, avocado",134.85045643804136,228.41000816104122,151.5640748884893,10.213281684933158
breakfast,"MEALTYPE_breakfast | protein: beef, ground, 93% lean meat / 7% fat, raw | carb: potato, baked, peel not eaten | vegetable: peas and carrots, fresh, cooked, no added fat | fat: creamy liquid frying shortening",72.48594913862563,126.62376507921896,50.71800893448681,14.796934868992434
desserts,"MEALTYPE_desserts | carb: sweet potato, canned, no added fat | fat: oil, coconut",0.0,234.59710594290908,23.841702129374912,26.660464432004225
snacks,"MEALTYPE_snacks | protein: beef, steak, ribeye, lean and fat eaten | carb: sweet potato, cooked, baked in skin, flesh, without salt | vegetable: cucumber tonic water, cucumber",39.822959708916144,102.94286148827364,63.74536706601294,6.326407419664337
lunch,"MEALTYPE_lunch | protein: beef, new zealand, imported, flat, separable lean only, raw | carb: pasta with cream sauce and meat, home recipe | vegetable: asparagus, fresh, cooked, no added fat; cucumber melon seltzer, cucumber melon | fat: oil, corn, peanut, and olive",137.41840434071827,139.62349209229137,184.30896409279586,16.277378212780224
dinner,"MEALTYPE_dinner | protein: fish, salmon, pink, canned, without salt, solids with bone and liquid | carb: noodles, cooked | vegetable: carrots, baby, raw; carrots, canned, cooked, no added fat | fat: agreena shortening",217.98825161086924,96.84449277665999,91.98059425193208,14.322071292590325
lunch,"MEALTYPE_lunch | protein: fish, salmon, atlantic, wild, raw | carb: rice, sweet, cooked with honey | vegetable: peas and carrots, fresh, cooked, fat added; peas and carrots, frozen, cooked, fat added",192.097047248745,103.17444118293895,125.55521317406969,6.996974137496762
